Sampel-ID	SampleName	Site_Type	Site_Number	Depth_Surface_M	Distance_Datum_M	Water_Percantage
C001-S250-L001	C0-1	Surface	0	0	0	58.8
C002-S256-L001	C0-2	Surface	0	0	0	81.7
C003-S262-L001	C0-3	Surface	0	0	0	54.0
C011-S268-L001	C1-1	Cave	1	18	13	61.3
C012-S227-L001	C1-2	Cave	1	18	14	51.2
C013-S233-L001	C1-3	Cave	1	18	16	51.1
C021-S239-L001	C2-1	Cave	2	30	28	89.6
C022-S245-L001	C2-2	Cave	2	30	32	52.6
C023-S251-L001	C2-3	Cave	2	31	29	76.7
C031-S257-L001	C3-1	Cave	3	38	43	73.5
C033-S269-L001	C3-3	Cave	3	37	41	86.1
C041-S228-L001	C4-1	Cave	4	48	64	59.9
C042-S234-L001	C4-2	Cave	4	55	58	56.2
C043-S240-L001	C4-3	Cave	4	48	58	58.9
C051-S246-L001	C5-1	Cave	5	55	74	75.6
C052-S252-L001	C5-2	Cave	5	55	77	89.9
C053-S258-L001	C5-3	Cave	5	54	71	80.6
C061-S264-L001	C6-1	Cave	6	58	90	75.5
C062-S270-L001	C6-2	Cave	6	60	89	89.4
C063-S229-L001	C6-3	Cave	6	63	91	78.1
W011-S259-L001	W1-1	Water	1	48	58	100
W012-S265-L001	W1-2	Water	1	48	58	100
W021-S271-L001	W2-1	Water	2	55	71	100
W022-S230-L001	W2-2	Water	2	55	71	100
W031-S236-L001	W3-1	Water	3	60	89	100
W032-S242-L001	W3-2	Water	3	60	89	100
T011-S235-L001	T1	Surface	1	0	15	64.9
T021-S241-L001	T2	Surface	2	0	30	83.5
T031-S247-L001	T3	Surface	3	0	46	69.7
T041-S253-L001	T4	Surface	4	0	61	73.8
