# Constructed from biom file																														
#OTU ID	C021-S239-L001	C022-S245-L001	C002-S256-L001	C003-S262-L001	C001-S250-L001	C041-S228-L001	C011-S268-L001	C023-S251-L001	C043-S240-L001	C052-S252-L001	C051-S246-L001	C053-S258-L001	C042-S234-L001	C031-S257-L001	C012-S227-L001	C013-S233-L001	T011-S235-L001	C033-S269-L001	W011-S259-L001	T021-S241-L001	W012-S265-L001	T041-S253-L001	T031-S247-L001	W021-S271-L001	C061-S264-L001	C063-S229-L001	W031-S236-L001	W022-S230-L001	C062-S270-L001	W032-S242-L001
b316938c80ffdbf3cc3b7b2265fa615f	210	0	0	0	0	124	0	117	548	1	0	1	0	0	1	0	0	103	0	0	0	0	0	0	0	0	4	1	1	2
c419a728b2ae75f1fc9b1a8005a56a14	115	0	0	0	0	3	0	0	1	0	0	6	0	0	2	0	0	4	0	0	0	0	0	4	0	0	0	5	3	0
ecd2fac4f1912519e0c911bbf2b024a0	105	0	0	0	0	62	0	100	268	6	17	7	0	0	0	18	0	71	0	0	2	0	0	0	38	0	32	0	31	19
479aef4e3202b3c645bec4e0aa9af7ac	101	0	0	0	0	70	1	46	287	3	18	8	0	1	3	1	0	74	2	0	1	0	0	7	43	74	2	11	7	1
dda397b58873c1ec1ab3241f8f1ea2fc	90	0	0	0	0	39	0	12	72	1	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	2	1	0
977b74032a74c153a4501532174f6bf0	87	4	0	0	0	37	0	33	256	2	10	8	0	1	0	7	0	118	0	0	0	0	0	0	181	0	0	7	2	0
321f564c35ace397f846b59d0675f2ee	82	16	0	0	0	18	0	40	23	8	5	23	14	28	0	11	0	17	0	0	0	0	0	0	0	7	0	7	0	0
f69845f81244992b6b153ee4e08f6979	78	0	0	0	0	44	0	106	187	2	1	0	0	0	0	0	0	45	0	0	0	0	0	0	10	0	0	1	0	0
667379363a3c3f3acf7997973be310b0	73	0	0	0	0	15	0	3	153	10	0	0	0	0	375	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0
01814d14d064d1ab20aaccb1080b9377	73	1	0	0	0	22	9	28	156	0	0	0	1	55	35	39	0	0	6	0	17	0	0	3	3	0	4	7	0	8
f3c06bb131189dd6497fb7ecbad525e6	63	0	0	1	0	0	2	304	172	0	196	0	0	0	132	0	0	0	0	0	0	0	0	6	438	164	35	0	21	41
1f00ec5875524114bfbd3e0569cf22f1	62	620	0	0	0	262	19	1838	511	182	1336	262	213	1502	306	36	0	387	0	0	17	0	0	77	3536	4489	39	320	56	96
33d3c2bc66624c577415e9651b1edffe	60	14	0	0	0	7	0	74	10	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	2	0	0	0
c864172b45def3b8444a6e37d53c9ca5	60	0	0	0	0	48	34	92	108	81	55	171	68	0	6	404	0	179	5	0	12	0	0	5	102	0	0	88	126	23
9cd6ec58a318dabd428792bcaa6cd28f	59	37	0	0	0	14	0	0	0	0	0	4	0	0	333	141	0	0	0	0	0	0	0	0	0	0	0	5	0	0
5789304dcb2b359993e02f0126fc61dd	54	0	0	0	0	32	0	21	190	0	0	6	0	0	0	0	0	38	0	0	0	0	0	2	3	324	0	2	3	0
108a23fa5513b78e0b160c10b725f65a	53	0	0	0	0	73	14	90	119	20	0	39	147	0	147	98	0	26	0	0	1	0	0	0	54	0	0	42	7	12
6a05628a88d42aa20ff6b96466a8b340	52	0	0	0	0	32	0	6	73	0	1	0	0	0	2	0	0	48	0	0	0	0	0	0	0	156	1	0	0	0
7d38d3b31c964dda4a805ae625092a1a	51	2	0	0	0	39	11	132	253	2	40	4	0	9	264	24	0	29	0	0	0	0	0	0	60	0	0	5	0	2
71c202e8b8f784a3934587ff86ea8589	49	55	0	0	0	156	38	155	185	74	69	65	41	160	250	136	0	105	0	0	11	0	0	16	273	0	18	65	38	39
19c3c9fdefe7766f327477481e9cd0cb	46	26	0	0	0	23	11	79	0	8	0	29	83	59	19	126	0	256	0	0	0	0	0	1	0	32	2	23	0	23
35879c52a35e5869762ef2ea3d8ccb73	44	0	0	0	0	28	0	17	101	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	7	1	1	0	2	6
c53461ff9b992325433de52bc7392529	42	109	0	0	0	42	0	143	99	1	30	1	0	30	86	14	0	26	0	0	0	0	0	0	22	0	0	0	0	3
b027cf348e9362001b80b7bdea05f701	42	0	0	0	0	45	2	124	216	2	13	5	0	5	31	40	0	41	0	0	0	0	0	1	30	0	1	9	0	3
b976d834ab85952154ffd1473151abba	42	0	0	0	0	10	0	16	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172381151ffa62b3f1f301194cb8b8c5	41	7	0	0	0	36	22	97	170	4	19	11	26	8	170	39	0	48	1	0	0	0	0	1	31	7	1	12	1	8
e4a9e318b3b1030aa917c92c6dd13d97	40	0	0	0	0	39	0	20	22	11	0	0	1	0	3	62	0	135	0	0	0	0	0	0	0	0	4	0	0	0
