Feature ID	Taxon	Confidence						
b316938c80ffdbf3cc3b7b2265fa615f	d__Bacteria	p__GAL15	c__GAL15	o__GAL15	f__GAL15	g__GAL15	s__	0.9999725492453914
c419a728b2ae75f1fc9b1a8005a56a14	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Subgroup_17	f__Subgroup_17	g__Subgroup_17	s__	0.9999920926742042
ecd2fac4f1912519e0c911bbf2b024a0	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__Rokubacteriales	g__Rokubacteriales	s__	0.9999999318231995
479aef4e3202b3c645bec4e0aa9af7ac	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Methylomirabilales	f__Methylomirabilaceae	g__Candidatus_Methylomirabilis	s__	0.9999093058310133
dda397b58873c1ec1ab3241f8f1ea2fc	d__Bacteria	p__GAL15	c__GAL15	o__GAL15	f__GAL15	g__GAL15	s__	0.9999980530614803
977b74032a74c153a4501532174f6bf0	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Subgroup_17	f__Subgroup_17	g__Subgroup_17	s__	0.9999895068928881
321f564c35ace397f846b59d0675f2ee	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.998237056
f69845f81244992b6b153ee4e08f6979	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__Rokubacteriales	g__Rokubacteriales	s__	0.9999999701253449
667379363a3c3f3acf7997973be310b0	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__Rokubacteriales	g__Rokubacteriales	s__	0.9999998611762163
01814d14d064d1ab20aaccb1080b9377	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__	0.9376658759984949
f3c06bb131189dd6497fb7ecbad525e6	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	0.9999998674218578
1f00ec5875524114bfbd3e0569cf22f1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nitrosococcales	f__Nitrosococcaceae	g__wb1-P19	s__	0.9995406188104805
33d3c2bc66624c577415e9651b1edffe	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.9780254936266087
c864172b45def3b8444a6e37d53c9ca5	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9986105367193092
9cd6ec58a318dabd428792bcaa6cd28f	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.8592413312309937
5789304dcb2b359993e02f0126fc61dd	d__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__uncultured	s__	0.9747812188986078
108a23fa5513b78e0b160c10b725f65a	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9917785416441686
6a05628a88d42aa20ff6b96466a8b340	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Methylomirabilales	f__Methylomirabilaceae	g__wb1-A12	s__	0.9999998147706209
7d38d3b31c964dda4a805ae625092a1a	d__Bacteria	p__Actinobacteriota	c__MB-A2-108	o__MB-A2-108	f__MB-A2-108	g__MB-A2-108	s__	0.9999358744284088
